model,domain,chi2,p_value,n_cells,p_bonf
claude-opus-4-7,derm,1092.663043478261,2.2045523999139e-226,13,1.9840971599225098e-225
claude-opus-4-7,mri,,,13,
claude-opus-4-7,xray,431.03180983004137,1.0022890947865233e-84,13,9.02060185307871e-84
gemini-3.1-pro-preview,derm,15.547839506172838,0.2128341804161072,13,1.0
gemini-3.1-pro-preview,mri,11.38588356517259,0.49616954160020044,13,1.0
gemini-3.1-pro-preview,xray,50.18604651162789,1.2957947642686672e-06,13,1.1662152878418005e-05
gpt-5.4,derm,56.376137665855346,1.024149628592073e-07,13,9.217346657328657e-07
gpt-5.4,mri,207.2344433136673,1.0443629038974567e-37,13,9.39926613507711e-37
gpt-5.4,xray,182.0185009487666,1.6431796590690707e-32,13,1.4788616931621636e-31
