model,domain,32bf,32bm,32rf,32rm,32wf,32wm,65bf,65bm,65rf,65rm,65wf,65wm,D0
claude-opus-4-7,derm,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.05,0.94,0.0
claude-opus-4-7,mri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus-4-7,xray,0.13,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3.1-pro-preview,derm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.02
gemini-3.1-pro-preview,mri,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02
gemini-3.1-pro-preview,xray,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06
gpt-5.4,derm,0.51,0.43,0.49,0.52,0.45,0.47,0.48,0.59,0.66,0.53,0.52,0.54,0.19
gpt-5.4,mri,0.54,0.51,0.37,0.27,0.72,0.74,0.61,0.49,0.43,0.24,0.61,0.64,0.02
gpt-5.4,xray,0.77,0.77,0.32,0.41,0.61,0.67,0.51,0.49,0.29,0.32,0.43,0.5,0.11
