m,d,cell,fab0,fab1,d_fab,overall,wf,n0,n1
gpt-5.4,derm,32rm,0.19,0.52,0.33,0.11816563228492018,0.08383466216721837,19,52
gpt-5.4,derm,32rf,0.19,0.49,0.3,0.10314196716840339,0.08383466216721837,19,49
gpt-5.4,derm,65wm,0.19,0.54,0.35000000000000003,0.32175685918839947,0.6986918185784502,19,54
gpt-5.4,derm,65wf,0.19,0.52,0.33,0.313271668751302,0.7241860235411413,19,52
gpt-5.4,derm,65bm,0.19,0.59,0.39999999999999997,0.42196207371243694,0.9598544494529608,19,59
gpt-5.4,derm,65bf,0.19,0.48,0.29,0.34176519578748327,0.9535839549470699,19,48
gpt-5.4,derm,65rm,0.19,0.53,0.34,0.3464733297982838,0.845637369624141,19,53
gpt-5.4,derm,65rf,0.19,0.66,0.47000000000000003,0.4618681701266161,0.9069355307281862,19,66
gemini-3.1-pro-preview,xray,32wm,0.06,0.0,-0.06,0.030669398254338058,,6,0
gemini-3.1-pro-preview,xray,32wf,0.06,0.0,-0.06,0.030669398254338058,,6,0
gemini-3.1-pro-preview,xray,32bm,0.06,0.0,-0.06,0.030669398254338058,,6,0
gemini-3.1-pro-preview,xray,32bf,0.06,0.03,-0.03,0.04516995797510649,1.0,6,3
gemini-3.1-pro-preview,xray,32rm,0.06,0.0,-0.06,0.030669398254338058,,6,0
gemini-3.1-pro-preview,xray,32rf,0.06,0.0,-0.06,0.030669398254338058,,6,0
gemini-3.1-pro-preview,xray,65wm,0.06,0.01,-0.049999999999999996,0.014758699013817265,0.0,6,1
gemini-3.1-pro-preview,xray,65wf,0.06,0.0,-0.06,0.030669398254338058,,6,0
gemini-3.1-pro-preview,xray,65bm,0.06,0.0,-0.06,0.030669398254338058,,6,0
gemini-3.1-pro-preview,xray,65bf,0.06,0.0,-0.06,0.030669398254338058,,6,0
gemini-3.1-pro-preview,xray,65rm,0.06,0.0,-0.06,0.030669398254338058,,6,0
gemini-3.1-pro-preview,xray,65rf,0.06,0.0,-0.06,0.030669398254338058,,6,0
gemini-3.1-pro-preview,mri,32wm,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,mri,32wf,0.02,0.01,-0.01,0.005018308391328163,0.3112781244591328,2,1
gemini-3.1-pro-preview,mri,32bm,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,mri,32bf,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,mri,32rm,0.02,0.01,-0.01,0.015018308391328164,1.0,2,1
gemini-3.1-pro-preview,mri,32rf,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,mri,65wm,0.02,0.01,-0.01,0.015018308391328164,1.0,2,1
gemini-3.1-pro-preview,mri,65wf,0.02,0.01,-0.01,0.015018308391328164,1.0,2,1
gemini-3.1-pro-preview,mri,65bm,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,mri,65bf,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,mri,65rm,0.02,0.0,-0.02,0.01007286462500085,,2,0
