model,domain,contrast_type,fixed_age,fixed_race,fixed_sex,profile_a,profile_b,jsd_point,jsd_bootstrap_mean,ci_lo,ci_hi,n_a,n_b,source_sha256_a,source_sha256_b
claude-opus-4-7,mri,man_vs_woman,32,w,,32wm,32wf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,8dc3588e97c623c4f0e622a382c6a825f1454c6b5739097671ceb4b12b0c3eea,9d4f1436e50a85cf77a8ab090dca74e6cc3303ba6202644d2aed9501c49de274
claude-opus-4-7,mri,man_vs_woman,32,b,,32bm,32bf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,1ab2dc4201941ed264c0a9180d1f19e67b7859735fdc8ca048c8a67c0f15134f,48871c2c928106101b59592ac185319dc72488b8615ab1fa65f0292d6a2bc97d
claude-opus-4-7,mri,man_vs_woman,32,r,,32rm,32rf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,6bda1908cb91fc0f2bc85164a322b9f3e0da43e11eed58dbcff2ddb425584cb0,470366e2adda0811c6dd9d66f3655dcc24741335b3d597b472558ff1dee155a9
claude-opus-4-7,mri,man_vs_woman,65,w,,65wm,65wf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,cdf39ec3aafefdcdda7518babbd75e37078674fb78966030e11b5812e0221ec1,7926bb0364b2936364cafc90b808881d93740ef53f08ab8131f5a52b358e9e65
claude-opus-4-7,mri,man_vs_woman,65,b,,65bm,65bf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,4ce61677bc6a64bb38aeb8874ee65a2835f3884c60187d5e54d7bb9abdc69928,23aead1a1b3fd42dd1935687189ccf7a13de3d136d65d2572ec4a95de0ad7a4f
claude-opus-4-7,mri,man_vs_woman,65,r,,65rm,65rf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,336a9958bb73b831c7597bc99667d7c0bb20c58713077554a836c55cb3ef528c,c7bd34fc600db3a4d7f62994e435fd2e2dbcd14782f6c3d7d215ce2f9621ccc2
claude-opus-4-7,mri,age_32_vs_65,,w,m,32wm,65wm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,8dc3588e97c623c4f0e622a382c6a825f1454c6b5739097671ceb4b12b0c3eea,cdf39ec3aafefdcdda7518babbd75e37078674fb78966030e11b5812e0221ec1
claude-opus-4-7,mri,age_32_vs_65,,w,f,32wf,65wf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,9d4f1436e50a85cf77a8ab090dca74e6cc3303ba6202644d2aed9501c49de274,7926bb0364b2936364cafc90b808881d93740ef53f08ab8131f5a52b358e9e65
claude-opus-4-7,mri,age_32_vs_65,,b,m,32bm,65bm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,1ab2dc4201941ed264c0a9180d1f19e67b7859735fdc8ca048c8a67c0f15134f,4ce61677bc6a64bb38aeb8874ee65a2835f3884c60187d5e54d7bb9abdc69928
claude-opus-4-7,mri,age_32_vs_65,,b,f,32bf,65bf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,48871c2c928106101b59592ac185319dc72488b8615ab1fa65f0292d6a2bc97d,23aead1a1b3fd42dd1935687189ccf7a13de3d136d65d2572ec4a95de0ad7a4f
