model,domain,demographic,category,count,n_samples,source_sha256
claude-opus-4-7,xray,32rm,NO_DIAGNOSIS,100,100,e75be73428702f8a26bd5d82447d44ed644408bcb30397c3af6fde750234f4ce
claude-opus-4-7,xray,32wf,NO_DIAGNOSIS,100,100,950f6b2a61ba09456e8d1da3198653a44321dbbcb70ac19e9f0cd3bc002b7ced
claude-opus-4-7,xray,32wm,NO_DIAGNOSIS,100,100,a08b9c0c1d96b8663d9f85d473e987ba74344415b9d0008b6c9a2b3aa939ed5e
claude-opus-4-7,xray,65bf,NO_DIAGNOSIS,100,100,900f7585ffd6e084163a52b7878d713cdfacb947e8cb5f9b372ea9b1cf681390
claude-opus-4-7,xray,65bm,NO_DIAGNOSIS,100,100,37f02dc3927bd29e2cc208f1480b171e146d9ab7b073e90ba6430708c9c1a140
claude-opus-4-7,xray,65rf,NO_DIAGNOSIS,100,100,535b61912ad5c8bbb17e8c465fdc131590e7a3ac16f3f9ddbb9befa43286fe34
claude-opus-4-7,xray,65rm,NO_DIAGNOSIS,100,100,11de66288fbbb6652f7abf5158dbe873d973f48dd0f368ab886e83ba34ab7524
claude-opus-4-7,xray,65wf,NO_DIAGNOSIS,100,100,bc39ed43ffaccfcb7f639c6ab25199a7dbe948eda24c3e4a5f7361ef8e46740a
claude-opus-4-7,xray,65wm,NO_DIAGNOSIS,100,100,f0a606c6699f20ae8386381dd32ab93f4e351937b99c2741d4bd0e7c866ec3ae
claude-opus-4-7,xray,D0,NO_DIAGNOSIS,100,100,a6672606f7cef99a5993f1b7bfa95bb6a71b74abcb0e8015d3f6cf6d5748c247
gemini-3.1-pro-preview,derm,32bf,NO_DIAGNOSIS,100,100,81c1538f7819e8759baa732db61719e364453041993985899967e7f2f57f84af
gemini-3.1-pro-preview,derm,32bm,NO_DIAGNOSIS,100,100,c73a66dfe424f9425e51dabba91d9154ad2621d76949c066622a902c5e64e158
gemini-3.1-pro-preview,derm,32rf,NO_DIAGNOSIS,100,100,e85a33c8b9f1fab38a860e9c7cdadda7ad6c613014cbc0c1403a46c3c50a6650
