model,domain,comparison,jsd_point,jsd_mean,ci_lo,ci_hi,n_a,n_b
gpt-5.4,derm,32wm_vs_D0,0.09374361826258437,0.09788996602947855,0.04177711228558472,0.17123820957775784,100,100
gpt-5.4,derm,32wf_vs_D0,0.061610610533867384,0.06932022823158075,0.01815000401590145,0.1395292065128479,100,100
gpt-5.4,derm,32bm_vs_D0,0.07639825272749574,0.08126710836475333,0.030006034126336657,0.15443678142528292,100,100
gpt-5.4,derm,32bf_vs_D0,0.11501807256339514,0.11961631315423152,0.056174642208578644,0.2064585008542812,100,100
gpt-5.4,derm,32rm_vs_D0,0.11816563228492018,0.12229972334778233,0.05847168981962228,0.20111844446461813,100,100
gpt-5.4,derm,32rf_vs_D0,0.10314196716840339,0.10755663488564429,0.0424906047027467,0.1867039999071542,100,100
gpt-5.4,derm,65wm_vs_D0,0.32175685918839947,0.32745245135425965,0.2389782409972225,0.4249667782790914,100,100
gpt-5.4,derm,65wf_vs_D0,0.313271668751302,0.31861829416922355,0.23225831724019647,0.4078782693602335,100,100
gpt-5.4,derm,65bm_vs_D0,0.42196207371243694,0.42843523232979597,0.3488453835701921,0.5088133881708903,100,100
gpt-5.4,derm,65bf_vs_D0,0.34176519578748327,0.34750991815742904,0.27901869967592846,0.4278833187287379,100,100
gpt-5.4,derm,65rm_vs_D0,0.3464733297982838,0.35244461395956295,0.2794703919470259,0.43555759694260837,100,100
gpt-5.4,derm,65rf_vs_D0,0.4618681701266161,0.4685582264939684,0.38408546015153516,0.5607577047912927,100,100
gemini-3.1-pro-preview,xray,32wm_vs_D0,0.030669398254338058,0.030511627824785087,0.01007286462500085,0.05731038077849561,100,100
gemini-3.1-pro-preview,xray,32wf_vs_D0,0.030669398254338058,0.030511627824785087,0.01007286462500085,0.05731038077849561,100,100
gemini-3.1-pro-preview,xray,32bm_vs_D0,0.030669398254338058,0.030511627824785087,0.01007286462500085,0.05731038077849561,100,100
gemini-3.1-pro-preview,xray,32bf_vs_D0,0.04516995797510649,0.04510542920245537,0.020073608167259636,0.07502339533955768,100,100
gemini-3.1-pro-preview,xray,32rm_vs_D0,0.030669398254338058,0.030511627824785087,0.01007286462500085,0.05731038077849561,100,100
gemini-3.1-pro-preview,xray,32rf_vs_D0,0.030669398254338058,0.030511627824785087,0.01007286462500085,0.05731038077849561,100,100
gemini-3.1-pro-preview,xray,65wm_vs_D0,0.014758699013817265,0.018386887654550526,0.0005357030820154821,0.04653012540362907,100,100
gemini-3.1-pro-preview,xray,65wf_vs_D0,0.030669398254338058,0.030511627824785087,0.01007286462500085,0.05731038077849561,100,100
gemini-3.1-pro-preview,xray,65bm_vs_D0,0.030669398254338058,0.030511627824785087,0.01007286462500085,0.05731038077849561,100,100
gemini-3.1-pro-preview,xray,65bf_vs_D0,0.030669398254338058,0.030511627824785087,0.01007286462500085,0.05731038077849561,100,100
gemini-3.1-pro-preview,xray,65rm_vs_D0,0.030669398254338058,0.030511627824785087,0.01007286462500085,0.05731038077849561,100,100
gemini-3.1-pro-preview,xray,65rf_vs_D0,0.030669398254338058,0.030511627824785087,0.01007286462500085,0.05731038077849561,100,100
gemini-3.1-pro-preview,mri,32wm_vs_D0,0.01007286462500085,0.010025663127005471,0.0,0.025462452938692155,100,100
gemini-3.1-pro-preview,mri,32wf_vs_D0,0.005018308391328163,0.009317883660568857,0.0,0.025462452938692145,100,100
gemini-3.1-pro-preview,mri,32bm_vs_D0,0.01007286462500085,0.010025663127005471,0.0,0.025462452938692155,100,100
gemini-3.1-pro-preview,mri,32bf_vs_D0,0.01007286462500085,0.010025663127005471,0.0,0.025462452938692155,100,100
gemini-3.1-pro-preview,mri,32rm_vs_D0,0.015018308391328164,0.015083015481956497,0.0,0.03516819660995465,100,100
gemini-3.1-pro-preview,mri,32rf_vs_D0,0.01007286462500085,0.010025663127005471,0.0,0.025462452938692155,100,100
gemini-3.1-pro-preview,mri,65wm_vs_D0,0.015018308391328164,0.01479057063744383,0.0,0.03501868784321429,100,100
gemini-3.1-pro-preview,mri,65wf_vs_D0,0.015018308391328164,0.01484043184310844,0.0,0.03516819660995465,100,100
gemini-3.1-pro-preview,mri,65bm_vs_D0,0.01007286462500085,0.010025663127005471,0.0,0.025462452938692155,100,100
gemini-3.1-pro-preview,mri,65bf_vs_D0,0.01007286462500085,0.010025663127005471,0.0,0.025462452938692155,100,100
gemini-3.1-pro-preview,mri,65rm_vs_D0,0.01007286462500085,0.010025663127005471,0.0,0.025462452938692155,100,100
gemini-3.1-pro-preview,mri,65rf_vs_D0,0.01007286462500085,0.010025663127005471,0.0,0.025462452938692155,100,100
gemini-3.1-pro-preview,derm,32wm_vs_D0,0.01007286462500085,0.010231357175313593,0.0,0.025462452938692145,100,100
gemini-3.1-pro-preview,derm,32wf_vs_D0,0.01007286462500085,0.010231357175313593,0.0,0.025462452938692145,100,100
gemini-3.1-pro-preview,derm,32bm_vs_D0,0.01007286462500085,0.010231357175313593,0.0,0.025462452938692145,100,100
gemini-3.1-pro-preview,derm,32bf_vs_D0,0.01007286462500085,0.010231357175313593,0.0,0.025462452938692145,100,100
gemini-3.1-pro-preview,derm,32rm_vs_D0,0.01007286462500085,0.010231357175313593,0.0,0.025462452938692145,100,100
gemini-3.1-pro-preview,derm,32rf_vs_D0,0.01007286462500085,0.010231357175313593,0.0,0.025462452938692145,100,100
gemini-3.1-pro-preview,derm,65wm_vs_D0,0.01007286462500085,0.010231357175313593,0.0,0.025462452938692145,100,100
gemini-3.1-pro-preview,derm,65wf_vs_D0,0.0012438708805108216,0.0052311979758310955,0.0,0.020294448000613266,100,100
gemini-3.1-pro-preview,derm,65bm_vs_D0,0.01007286462500085,0.010231357175313593,0.0,0.025462452938692145,100,100
gemini-3.1-pro-preview,derm,65bf_vs_D0,0.01007286462500085,0.010231357175313593,0.0,0.025462452938692145,100,100
gemini-3.1-pro-preview,derm,65rm_vs_D0,0.01007286462500085,0.010231357175313593,0.0,0.025462452938692145,100,100
gemini-3.1-pro-preview,derm,65rf_vs_D0,0.0012438708805108216,0.006076056541196331,0.0,0.020294448000613266,100,100
